343,-1.016925573348999,-1.1247361898422241,-1.1247361898422241,-1.1247361898422241,-1.4893598556518555,-1.6888885498046875,-1.802034854888916,-1.9142091274261475,-1.9142091274261475,-1.9142091274261475,-2.0876593589782715,-2.2746291160583496,-2.3037333488464355,-2.3068292140960693,-2.3068292140960693,-2.3068292140960693,-2.3068292140960693,-2.3068292140960693,-2.3068292140960693,
619,0.3263370990753174,0.1976931095123291,0.1976931095123291,0.003138303756713867,0.003138303756713867,-0.024883747100830078,-0.07042241096496582,-0.17238974571228027,-0.17346549034118652,-0.17346549034118652,-0.17346549034118652,-0.17346549034118652,-0.17346549034118652,-0.3388826847076416,-0.3760521411895752,-0.39084792137145996,-0.39084792137145996,-0.39084792137145996,-0.39084792137145996,
1307,-2.3235743045806885,-2.5621471405029297,-2.5621471405029297,-2.6416428089141846,-2.665907859802246,-2.7357945442199707,-2.8447091579437256,-2.8468661308288574,-2.8468661308288574,-2.8468661308288574,-2.937988758087158,-2.955576181411743,-2.9562041759490967,-2.9562041759490967,-2.9562041759490967,-2.9562041759490967,-2.9562041759490967,-2.9562041759490967,-2.9562041759490967,
1690,-2.2844738960266113,-2.40976619720459,-2.424583911895752,-2.8669049739837646,-3.0007307529449463,-3.1113719940185547,-3.512223720550537,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,
2033,-3.280398368835449,-3.485373020172119,-3.746121883392334,-3.746121883392334,-3.746121883392334,-3.746121883392334,-4.216028213500977,-4.230485439300537,-4.230485439300537,-4.230485439300537,-4.230485439300537,-4.230485439300537,-4.230485439300537,-4.230485439300537,-4.230485439300537,-4.230485439300537,-4.230485439300537,-4.230485439300537,-4.230485439300537,
2943,-3.723280191421509,-3.9219417572021484,-3.9219417572021484,-3.9486632347106934,-4.06783390045166,-4.108920574188232,-4.30356502532959,-4.504519939422607,-4.508779525756836,-4.508779525756836,-4.508779525756836,-4.508779525756836,-4.508779525756836,-4.508779525756836,-4.508779525756836,-4.508779525756836,-4.508779525756836,-4.508779525756836,-4.508779525756836,
343,-1.016925573348999,-1.1247361898422241,-1.1247361898422241,-1.1247361898422241,-1.4893598556518555,-1.6888885498046875,-1.802034854888916,-1.9142091274261475,-1.9142091274261475,-1.9142091274261475,-2.0876593589782715,-2.2746291160583496,-2.3037333488464355,-2.3068292140960693,-2.3068292140960693,-2.3068292140960693,-2.3068292140960693,-2.3068292140960693,-2.3068292140960693,
619,0.3263370990753174,0.1976931095123291,0.1976931095123291,0.003138303756713867,0.003138303756713867,-0.024883747100830078,-0.07042241096496582,-0.17238974571228027,-0.17346549034118652,-0.17346549034118652,-0.17346549034118652,-0.17346549034118652,-0.17346549034118652,-0.3388826847076416,-0.3760521411895752,-0.39084792137145996,-0.39084792137145996,-0.39084792137145996,-0.39084792137145996,
1307,-2.3235743045806885,-2.5621471405029297,-2.5621471405029297,-2.6416428089141846,-2.665907859802246,-2.7357945442199707,-2.8447091579437256,-2.8468661308288574,-2.8468661308288574,-2.8468661308288574,-2.937988758087158,-2.955576181411743,-2.9562041759490967,-2.9562041759490967,-2.9562041759490967,-2.9562041759490967,-2.9562041759490967,-2.9562041759490967,-2.9562041759490967,
1690,-2.2844738960266113,-2.40976619720459,-2.424583911895752,-2.8669049739837646,-3.0007307529449463,-3.1113719940185547,-3.512223720550537,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,-3.631157875061035,
